111	MADMadagascar	293(292.63)	309	-2		138.03	138.03	140.25	70.13	183.57	55.07	147.06	29.41	
112	PRKKorea DPR	292(291.72)	270	7		133.73	133.73	142.07	71.04	261.77	78.53	42.12	8.42	
113	KENKenya	289(289.08)	317	-8		75.40	75.40	277.31	138.66	177.05	53.11	109.58	21.92	
113	PHIPhilippines	289(288.53)	265	9		151.51	151.51	105.12	52.56	208.01	62.40	110.27	22.05	
115	CTACentral African Republic	283(282.68)	266	6		148.75	148.75	98.18	49.09	268.46	80.54	21.50	4.30	
116	BHRBahrain	281(280.66)	253	9		166.33	166.33	93.39	46.70	127.16	38.15	147.44	29.49	
117	JORJordan	272(272.23)	276	0		127.89	127.89	109.69	54.84	257.18	77.15	61.72	12.34	
118	TJKTajikistan	271(270.63)	255	6		164.90	164.90	142.42	71.21	67.47	20.24	71.37	14.27	
119	KAZKazakhstan	269(268.78)	223	17		105.01	105.01	171.38	85.69	202.52	60.76	86.64	17.33	
120	MWIMalawi	267(267.24)	264	3		88.49	88.49	169.65	84.82	154.56	46.37	237.82	47.56	
121	TPEChinese Taipei	263(262.85)	225	13		194.65	194.65	107.33	53.67	18.21	5.46	45.37	9.07	
122	THAThailand	253(252.65)	238	7		119.90	119.90	97.85	48.93	210.49	63.15	103.38	20.68	
123	RWARwanda	252(252.02)	296	-11		89.97	89.97	70.13	35.06	177.52	53.26	368.65	73.73	
124	ATGAntigua and Barbuda	251(250.86)	212	15		51.17	51.17	142.80	71.40	268.81	80.64	238.21	47.64	
125	YEMYemen	250(250.06)	211	15		113.42	113.42	212.93	106.46	44.63	13.39	83.92	16.78	
126	SKNSt Kitts and Nevis	245(245.19)	316	-19		55.01	55.01	144.95	72.48	241.97	72.59	225.55	45.11	
126	AZEAzerbaijan	245(245.01)	243	1		68.06	68.06	246.44	123.22	133.65	40.10	68.18	13.64	
126	SDNSudan	245(244.6)	276	-9		162.89	162.89	12.07	6.04	136.80	41.04	173.19	34.64	
129	TKMTurkmenistan	242(242.26)	292	-15		131.40	131.40	63.75	31.88	220.29	66.09	64.50	12.90	
129	TOGTogo	242(241.71)	241	-1		78.96	78.96	165.36	82.68	115.93	34.78	226.46	45.29	
131	SWZSwaziland	240(239.94)	227	2		40.16	40.16	242.73	121.36	220.71	66.21	60.99	12.20	
132	ANDAndorra	230(230.03)	232	-2		198.35	198.35	63.36	31.68	0.00	0.00	0.00	0.00	
133	NZLNew Zealand	229(228.86)	267	-13		78.58	78.58	245.57	122.79	63.58	19.07	42.13	8.43	
133	LTULithuania	229(228.76)	182	14		63.93	63.93	199.42	99.71	83.60	25.08	200.22	40.04	
135	MYAMyanmar	227(226.56)	203	7		157.52	157.52	51.07	25.54	81.03	24.31	96.01	19.20	
136	NCANicaragua	224(223.92)	277	-20		40.07	40.07	168.53	84.27	271.24	81.37	91.07	18.21	
137	TANTanzania	223(223.27)	186	9		105.93	105.93	88.23	44.12	118.58	35.57	188.28	37.66	
138	ANGAngola	221(220.62)	210	3		125.50	125.50	44.47	22.23	114.11	34.23	193.26	38.65	
139	LVALatvia	217(216.85)	231	-8		78.26	78.26	95.15	47.58	141.64	42.49	242.61	48.52	
140	GUAGuatemala	198(197.93)	245	-14		0.00	0.00	164.88	82.44	221.96	66.59	244.52	48.90	
141	COMComoros	195(194.57)	230	-9		93.08	93.08	104.41	52.20	137.36	41.21	40.42	8.08	
142	HKGHong Kong	194(194.34)	190	3		95.01	95.01	69.45	34.72	176.18	52.85	58.76	11.75	
142	AFGAfghanistan	194(193.6)	176	6		115.05	115.05	61.20	30.60	103.06	30.92	85.14	17.03	
144	EQGEquatorial Guinea	190(189.98)	213	-6		25.50	25.50	73.44	36.72	157.23	47.17	402.98	80.60	
